net,sta,lat,long,elev
GE,RUE,52.4759,13.78,40.0
GE,SALP,32.0686,35.1914,475.0
GE,SALTA,-24.2241,-66.34,4000.0
GE,SLIT,57.6287,22.2905,15.0
GE,SNAA,-71.6707,-2.8379,846.0
GE,STU,48.7719,9.195,360.0
GE,TIRR,44.4581,28.4128,77.0
GE,UJAP,31.95201,35.46435,-200.0
GE,VSU,58.462,26.7347,63.0
GE,WIN,-22.5691,17.0915,1720.0
GE,WLF,49.6646,6.1526,295.0
GE,ZKR,35.1147,26.21691,254.0
GE,DAMY,14.5725,44.3917,2488.0
GE,SOCY,12.51952,53.98742,804.0
GE,KIBK,-2.35907,38.0433,790.0
GE,LODK,3.42195,35.36165,665.0
GE,SBV,-13.4584,49.9212,65.0
GE,VOI,-21.90648,46.79327,1158.0
GE,HMDM,6.77314,73.18216,1.0
GE,KAAM,0.49264,72.99486,1.0
GE,MALK,8.39682,80.54254,113.0
GE,HALK,6.0877,80.6806,120.0
GE,BBJI,-7.462603,107.65,615.0
GE,BKB,-1.1073,116.9048,110.0
GE,BKNI,0.3262,101.0396,65.0
GE,BNDI,-4.5224,129.9045,16.0
GE,FAKI,-2.91925,132.24889,136.0
GE,GENI,-2.5927,140.1678,47.0
GE,GSI,1.3039,97.5755,107.0
GE,JAGI,-8.4702,114.1521,171.0
GE,LHMI,5.2288,96.9472,3.0
GE,LUWI,-1.0418,122.7717,6.0
GE,MMRI,-8.6357,122.2376,137.0
GE,MNAI,-4.3605,102.9557,154.0
GE,PLAI,-8.8275,117.7765,125.0
GE,PMBI,-2.9024,104.6993,25.0
GE,SANI,-2.0496,125.9881,30.0
GE,SAUI,-7.9826,131.2988,110.0
GE,SMRI,-7.04915,110.44067,203.0
GE,SOEI,-9.7553,124.2672,1047.0
GE,TNTI,0.7718,127.3667,43.0
GE,TOLI2,1.11119,120.78174,51.0
GE,UGM,-7.9125,110.5231,350.0
GE,PMG,-9.4047,147.1597,90.0
GE,KMBO,-1.1271,37.2525,1950.0
GE,ILTH,54.0279,-6.3362,21.0
GE,DSB,53.2452,-6.3762,236.0
GE,MARCO,40.29724,15.80632,933.0
GE,THERA,36.366992,25.475263,288.0
GE,VAL,51.9394,-10.2442,14.0
GE,PSZ,47.91840001,19.89440001,940.0
GE,SUMG,72.5742,-38.4626,3202.0
GE,TCA,-31.337058,-64.595411,1052.0
GZ,SQT,27.5615,108.178,855.4
GZ,LPS,26.6379,104.787,2142.0
GZ,QLT,25.8164,105.251,1498.8
GZ,PXT,25.6386,104.728,1737.0
GZ,WNT,26.9072,104.3029,2324.4
GZ,KLT,26.5438,107.986,980.5
GZ,YPT,27.2121,108.8132,428.5
GZ,DJT,28.2598,108.1305,552.4
GZ,ZFT,25.3872,105.629,1049.0
GZ,ZYT,27.3408,106.9609,803.9
GZ,AST,26.1518,106.0552,1307.0
GZ,LPT,26.1787,109.217,472.2
GZ,LDT,25.4249,106.7488,431.1
GZ,BJT,27.2435,105.3497,1464.5
GZ,TZT,28.1983,106.976,1355.1
JS,LYG,34.6414,119.2425,40.0
JS,GUY,34.3094,119.2378,45.0
JS,GY,32.73,119.43,-443.0
JS,PZ,34.52,117.97,50.0
JS,XW,34.4979,119.5423,45.0
JS,XZ,34.2318,117.1676,62.0
JS,CZ,31.7725,120.0977,106.0
JS,NJ2,32.05,118.85,45.0
JS,WX,31.5177,120.2316,30.0
JS,SH,33.5444,118.1563,35.0
JS,DH,34.5051,118.7718,31.0
JS,CS,31.67,120.7157,27.0
JS,LY,31.3489,119.4189,23.1
JS,LIS,31.6463,119.1135,36.0
JS,YX,31.151,119.637,205.1
JS,HA,32.532,120.471,-415.0
JS,TZ,32.42,119.92,-496.0
JS,GAY,34.9431,118.98,65.0
JS,LH,32.5,118.93,104.0
JS,RD,32.4014,121.1354,-443.0
JS,ZJ,32.13,119.43,34.0
JS,HUA,33.6148,119.005,-298.0
JS,XH,32.8886,119.8466,-447.0
JS,JT,31.7342,119.5428,80.0
JS,JJ,32.0652,120.3037,10.0
JS,PX,34.8129,116.9032,-335.0
JS,YC,33.37,120.02,3.0
JS,XIY,34.3809,118.3892,35.0
JS,SQ,34.05,118.31,69.0
JS,GC,31.3531,119.0168,50.0
JS,XY,33.00667,118.4919,40.0
JS,BY,33.263,119.273,9.0
JS,KS,31.4,120.9,30.0
JS,LAS,33.7717,119.2924,-393.0
JS,QD,31.8,121.67,-405.0
ZJ,HAY,30.3831,120.8476,60.0
ZJ,YOK,28.9621,120.2008,210.0
ZJ,JIN,27.9805,119.6296,197.0
ZJ,NIH,29.2458,121.7042,60.0
ZJ,HUZ,30.8423,120.0952,12.0
ZJ,XJU,28.8832,120.7662,118.0
ZJ,CHA,29.4695,118.413,228.0
ZJ,WEZ,27.9271,120.6677,20.0
ZJ,LIA,30.1433,118.9578,230.0
ZJ,XSH,29.8938,120.1052,40.0
ZJ,YUY,29.9534,121.0939,45.0
ZJ,NIB,29.9837,121.5202,20.0
ZJ,XAJ,29.4817,119.2708,90.0
ZJ,SHS,30.7055,122.4507,76.0
ZJ,SOY,28.4546,119.5093,182.0
ZJ,NJD,27.4639,121.0661,47.0
ZJ,YIX,29.8008,121.3262,50.0
ZJ,JAX,30.7802,120.8877,5.0
ZJ,QIY,27.6164,119.0632,432.0
ZJ,WXJ,28.6961,118.8256,162.0
ZJ,YUQ,28.4149,121.0803,85.0
ZJ,ZHS,30.0378,122.1165,40.0
ZJ,HAZ,30.2665,120.114,50.0
ZJ,XIC,29.4818,120.8622,122.0
ZJ,CHX,31.0865,119.6578,135.0
HI,SLL,19.8014,109.419,127.0
HI,WZS,18.792527,109.526233,506.6
HI,LIG,19.8944,109.659,29.9
HI,DAN,19.670067,110.322945,26.7
HI,WET,19.962982,110.871952,5.4
HI,LSH,18.499756,109.995728,31.4
HI,QIH,19.2217,110.476,33.6
HI,JFL,18.6976,108.8114,99.6
HI,DOF,19.0654,108.7292,21.4
HI,QXL,20.086923,110.598923,93.0
HI,XSA,16.5023,112.2032,15.8
HI,QZN,19.0291,109.844,233.5
HI,QSL,19.665628,110.754074,89.0
HI,BSL,19.363558,110.261375,180.0
HI,SAY,18.2042,109.494,2.8
HI,CHM,19.5968,110.0034,88.8
HI,WAN,18.800705,110.423782,77.6
HI,NAD,19.5195,109.5753,142.0
HI,BSH,19.248,109.181,178.1
HI,JUS,18.394,108.9744,78.4
NX,TLE,38.8074,106.6968,1109.0
NX,TXN,37.3032,106.2827,2553.0
NX,JYU,35.4863,106.3393,1872.0
NX,ZHW,37.5857,105.2441,1220.0
NX,HYU,36.5012,105.6008,2220.0
NX,LWU,38.1011,106.3313,1200.0
NX,NSS,37.6962,106.0829,1427.0
NX,YCI,37.7785,107.4372,1312.0
NX,YCH,38.6086,105.9328,1545.0
NX,XSH,37.2409,105.2029,1830.0
NX,GYU,35.9639,106.1701,1926.0
NX,XJI,36.0877,105.758,2304.0
NX,TSH,36.39,106.27,1988.0
NX,SZS,39.283,106.6599,1277.0
SH,TPS,31.2887,120.4944,39.0
SH,TMS,31.0762,121.1497,26.0
SH,QHS,30.7921,121.259,13.0
SH,NAH,31.0472,121.7552,5.0
SH,HUH,30.4478,119.7974,18.0
SH,JIZ,31.1049,120.8818,5.0
SH,SHX,31.2189,121.4359,5.0
SH,XKS,31.0406,121.1311,30.0
SH,DYS,30.5884,122.0617,15.0
SH,DOT,31.5167,121.9455,5.0
SH,ZHY,31.2245,121.5315,5.0
SH,SSE,31.096,121.188,10.0
SH,DAX,31.5857,121.5274,5.0
TJ,SJT,39.2433,118.002,2.0
TJ,CAD,39.6108,117.4606,25.0
TJ,ZTZ,39.2719,117.1994,2.0
TJ,T23,39.0528,117.5167,2.0
TJ,JIX,40.0764,117.4964,65.0
TJ,XIZ,39.0272,117.3436,2.0
TJ,XAZ,39.7581,117.5244,20.0
TJ,WUQ,39.4484,116.9557,10.0
TJ,SJZ,38.6325,117.3819,2.0
TJ,BET,39.1294,117.7433,2.0
TJ,JIH,38.9408,116.8611,5.0
TJ,DAG,38.9761,117.827,5.5
TJ,EWZ,39.3983,117.366,6.9
TJ,FTZ,39.5686,117.7542,25.0
TJ,CGZ,38.7781,117.105,3.0
TJ,DZG,39.1094,117.2367,2.0
TJ,YGZ,39.91,117.26,30.0
TJ,QIG,39.205,117.0206,3.0
TJ,WAK,38.7697,116.8531,5.0
TJ,HAG,39.2414,117.7931,3.0
